,Proposta,Temas,Ementa,Ano,Autor(es),Cargo,Partido,Link
0,MSG 31/1991,,"Encaminha ao Congresso Nacional, as Contas do Governo Federal, reletivas ao exercício financeiro de 1990.",1991,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/236
1,MSG 33/1992,,Encaminha ao Congresso Nacional as Contas do Governo Federal relativas ao exercício financeiro de 1991.,1992,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/237
2,PDS 16/1984,,"Aprova o texto da Convenção nº 87 relativa à Liberdade Sindical e à Proteção do Direito Sindical, adotada em São Francisco em 1948 por ocasião da 31ª Sessão da Conferência Internacional do Trabalho, da Organização Internacional do Trabalho.
",1984,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/603
3,MPV 2217-3/2001,Viação e transportes,"Altera a Lei nº 10233, de 5 de junho de 2001, que dispõe sobre a reestruturação dos transportes aquaviário e terrestre, cria o Conselho Nacional de Integração de Políticas de Transporte, a Agência Nacional de Transportes Terrestres, a Agência Nacional de Transportes Aquaviários e o Departamento Nacional de Infra-Estrutura de Transportes, e dá outras providências.",2001,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/48250
4,VET 16/2002,,"Veto Total aposto ao Projeto de Lei da Câmara nº 6, de 2002 (nº 1.745/1999, na Casa de origem), que ""Altera o art. 1º e revoga o art. 4º, ambos da Lei nº 8.529, de 14 de dezembro de 1992"".",2002,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/50495
5,VET 53/2008,,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 27, de 2008 (oriundo da Medida Provisória nº 440/2008), que ""Dispõe sobre a reestruturação da composição remuneratória das Carreiras de Auditoria da Receita Federal do Brasil e Auditoria-Fiscal do Trabalho, de que trata a Lei nº 10.910, de 15 de julho de 2004; das Carreiras da Área Jurídica, de que trata a Lei nº 11.358, de 19 de outubro de 2006; das Carreiras de Gestão Governamental, de que trata a Medida Provisória nº 2.229-43, de 6 de setembro de 2001; das Carreiras do Banco Central do Brasil - BACEN, de que trata a Lei nº 9.650, de 27 de maio de 1998; e da Carreira de Diplomata, de que trata a Lei nº 11.440, de 29 de dezembro de 2006; cria o Plano de Carreiras e Cargos da Susep, o Plano de Carreiras e Cargos da CVM e o Plano de Carreiras e Cargos do IPEA; dispõe sobre a remuneração dos titulares dos cargos de Técnico de Planejamento P-1501 do Grupo P-1500, de que trata a Lei nº 9.625, de 7 de abril de 1998, e dos integrantes da Carreira Policial Civil dos extintos Territórios Federais do Acre, Amapá, Rondônia e Roraima de que trata a Lei nº 11.358, de 19 de outubro de 2006, a criação de cargos de Defensor Público da União, a criação de cargos de Analista de Planejamento e Orçamento, e sobre o Sistema de Desenvolvimento na Carreira - SIDEC; altera as Leis nºs 10.910, de 15 de julho de 2004, 11.358, de 19 de outubro de 2006, e 9.650, de 27 de maio de 1998, 11.457, de 16 de março de 2007; revoga dispositivos da Medida Provisória nº 2.229-43, de 6 de setembro de 2001, das Leis nºs 9.650, de 27 de maio de 1998, 10.593, de 6 de dezembro de 2002, 10.910, de 15 de julho de 2004, 11.094, de 13 de janeiro de 2005, 11.344, de 8 de setembro de 2006, e 11.356, de 19 de outubro de 2006; e dá outras providências"".",2008,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/88907
6,VET 41/2009,,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 12, de 2009 (oriundo da Medida Provisória nº 460/2009), que  ""Dá nova redação aos arts. 4º, 5º e 8º da Lei nº 10.931, de 2 de agosto de 2004, que tratam de patrimônio de afetação de incorporações imobiliárias; dispõe sobre o tratamento tributário a ser dado às receitas mensais auferidas pelas empresas construtoras nos contratos de construção de moradias firmados dentro do Programa Minha Casa, Minha Vida - PMCMV, atribui à Agência Nacional de Telecomunicações - ANATEL as atribuições de apurar, constituir, fiscalizar e arrecadar a Contribuição para o Fomento da Radiodifusão Pública; altera as Leis nºs 11.196, de 21 de novembro de 2005, 11.652, de 7 de abril de 2008, 10.833, de 29 de dezembro de 2003, 9.826, de 23 de agosto de 1999, 6.099, de 12 de setembro de 1974, 11.079, de 30 de dezembro de 2004, 8.668, de 25 de junho de 1993, 8.745, de 9 de dezembro de 1993, 10.865, de 30 de abril de 2004,  8.989, de 24 de fevereiro de 1995; e 11.941, de 27 de maio de 2009; e  dá outras providências"".",2009,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/92812
7,VET 48/2009,,"Veto Parcial aposto ao Projeto de Lei de Conversão nº 13, de 2009 (oriundo da Medida Provisória nº 462/2009), que ""Dispõe sobre a prestação de apoio financeiro pela União aos entes federados que recebem recursos do Fundo de Participação dos Municípios - FPM, no exercício de 2009, com o objetivo de superar dificuldades financeiras emergenciais; altera as Leis nºs 11.786, de 25 de setembro de 2008, 9.503, de 23 de setembro de 1997, 11.882, de 23 de dezembro de 2008, 10.836, de 9 de janeiro de 2004, 11.314, de 3 de julho de 2006, 11.941, de 27 de maio de 2009, 10.925, de 23 de julho de 2004, 9.636, de 15 de maio de 1998, 8.036, de 11 de maio de 1990, 8.212, de 24 de julho de 1991, 10.893, de 13 de julho de 2004, 9.454, de 7 de abril de 1997, 11.945, de 4 de junho de 2009, 11.775, de 17 de setembro de 2008, 11.326, de 24 de julho de 2006, 8.427, de 27 de maio de 1992, 8.171, de 17 de janeiro de 1991, 5.917, de 10 de setembro de 1973, 11.977, de 7 de julho de 2009, 11.196, de 21 de novembro de 2005, 9.703, de 17 de novembro de 1998, 10.865, de 30 de abril de 2004, 9.984, de 17 de julho de 2000 e 11.772, de 17 de setembro de 2008, a Medida Provisória nº 2.197-43, de 24 de agosto de 2001, e o Decreto-Lei nº 1.455, de 7 de abril de 1976; revoga a Lei nº 5.969, de 11 de dezembro de 1973, e o art. 13 da Lei nº 11.322, de 13 de julho de 2006; e dá outras providências"".",2009,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/93636
8,VET 2/2010,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 184, de 2009 (nº 4.881/2009, na Casa de origem), que ""Altera a Lei nº 10.260, de 12 de julho de 2001, que dispõe sobre o Fundo de Financiamento ao Estudante do Ensino Superior - FIES (permite abatimento de saldo devedor do FIES aos profissionais do magistério público e médicos dos programas de saúde da família; utilização de débitos com o INSS como crédito do FIES pelas instituições de ensino; e dá outras providências)"".",2010,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/95353
9,VET 5/2010,,"Veto Total aposto ao Projeto de Lei da Câmara nº 156, de 2009 (nº 1.310/2007, na Casa de origem), que ""Institui o dia 12 de maio como Dia Nacional dos Trabalhadores da área da Saúde"".",2010,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/95363
10,PDS 408/2010,,"Aprova o ato que outorga permissão à SISTEMA DE COMUNICAÇÃO SOL LTDA. para explorar serviço de radiodifusão sonora em frequência modulada na cidade de Barcelos, Estado do Amazonas.",2010,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/97058
11,VET 24/2010,,"Veto Parcial aposto ao Projeto de Lei do Senado nº 372, de 2009 (nº 7.540/2010, na Câmara dos Deputados), que ""Altera o Plano de Carreira dos Servidores do Senado Federal, instituído pelas Resoluções do Senado Federal nºs 42 e 51, de 1993, e unificado pela Resolução do Senado Federal nº 7, de 2002, convalidada pela Lei nº 10.863, de 29 de abril de 2004"".",2010,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/97718
12,VET 29/2010,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 22, de 2010 - Complementar (nº 374/2008 - Complementar, na Casa de origem), que ""Autoriza a participação da União em fundo destinado à cobertura suplementar dos riscos do seguro rural; altera dispositivos da Lei nº 10.823, de 19 de dezembro de 2003, da Lei Complementar nº 126, de 15 de janeiro de 2007, do Decreto-Lei nº 73, de 21 de novembro de 1966, do Decreto-Lei nº 261, de 28 de fevereiro de 1967, e da Lei nº 4.594 de 29 de dezembro de 1964; revoga dispositivos da Lei nº 8.171, de 17 de janeiro de 1991, da Lei nº  10.823, de 19 de dezembro de 2003, e do Decreto-Lei nº 73, de 21 de novembro de 1966; e dá outras providências"".",2010,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/97965
13,VET 30/2010,,"Veto Parcial aposto ao Projeto de Lei da Câmara nº 325, de 2009 (nº 4.673/2004, na Casa de origem), que ""Regulamenta a profissão de Tradutor e Intérprete da Língua Brasileira de Sinais - LIBRAS"".",2010,,,,http://legis.senado.leg.br/dadosabertos/materia/textos/98057
